Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
3.5.5,3,Management & Administrative Skills,3.5,LEADERSHIP,Ethical leadership in the age of AI and algorithmic decision-making,INTERMEDIATE,Applies AI ethics frameworks to environmental work,Implements AI ethically in programs and decisions,"Evaluates AI tools for bias, fairness, and transparency before adoption",Ensures community consent for AI applications affecting them,Maintains human oversight of AI-driven recommendations,Documents how AI is used in decision-making for accountability,Tests AI outputs for accuracy and bias using diverse scenarios,Integrates AI insights with traditional ecological knowledge appropriately
3.5.5,3,Management & Administrative Skills,3.5,LEADERSHIP,Ethical leadership in the age of AI and algorithmic decision-making,ADVANCED,Expert in AI ethics and responsible technology governance,Develops organizational AI ethics frameworks and oversight,Establishes comprehensive AI ethics policies and review processes,Creates AI governance structures ensuring accountability,Conducts algorithmic audits for bias and fairness,"Ensures AI transparency (what data, what model, what assumptions)",Addresses unintended consequences of AI applications proactively,"Balances AI efficiency with jobs, equity, and human dignity"
3.5.5,3,Management & Administrative Skills,3.5,LEADERSHIP,Ethical leadership in the age of AI and algorithmic decision-making,EXPERT,Shapes ethical technology governance in environmental sector,Leads sector toward responsible AI and algorithmic accountability,Influences sector standards and policy on AI ethics,Develops frameworks for responsible conservation technology adopted widely,Ensures technology advances environmental justice not just conservation,Addresses power imbalances created or amplified by technology,Publishes influential work on technology ethics in conservation,Advises governments and international bodies on AI governance
3.6.1,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,ESG strategy development and implementation,FOUNDATIONAL,Understands ESG concepts and why they matter to business,Supports ESG program implementation with data collection and reporting,"Explains E, S, and G pillars and their business relevance",Collects ESG data using digital platforms and tracking systems,"Understands major ESG frameworks (GRI, SASB, TCFD)",Uses sustainability management software for data entry,Recognizes ESG risks and opportunities in operations,Assists with stakeholder engagement on ESG topics
3.6.1,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,ESG strategy development and implementation,INTERMEDIATE,Applies ESG strategy frameworks and digital sustainability tools,Develops and implements ESG programs for business units or functions,Conducts digital materiality assessments using AI text analysis of stakeholder communications,Develops ESG strategies aligned with business strategy and stakeholder expectations,Uses IoT sensors and digital monitoring for real-time ESG data collection,Implements blockchain-based supply chain sustainability tracking,Sets science-based targets using online calculators and modeling tools,Engages employees in sustainability through gamification and digital campaigns
3.6.1,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,ESG strategy development and implementation,ADVANCED,"Expert in ESG strategy, corporate sustainability, and digital transformation for sustainability",Leads enterprise ESG strategy and transformation,"Develops comprehensive ESG strategies integrating E, S, and G across enterprise",Uses AI and machine learning for ESG risk prediction and opportunity identification,Implements digital platforms integrating ESG data across global operations,Leads sustainability transformation of business models toward circularity and regeneration,"Develops innovative financing linked to ESG performance (sustainability-linked loans, green bonds)",Integrates ESG into enterprise risk management and capital allocation
3.6.1,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,ESG strategy development and implementation,EXPERT,Shapes ESG and corporate sustainability practices globally,Leads transformative sustainability initiatives at scale,Directs ESG strategy for major corporations or investment portfolios,"Influences ESG standards, frameworks, and regulations",Develops innovative ESG approaches adopted sector-wide,Achieves recognition as ESG/sustainability thought leader,Publishes influential research on corporate sustainability,Demonstrates measurable environmental and social impact at scale
3.6.2,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability reporting and disclosure (GRI, SASB, TCFD)",FOUNDATIONAL,Familiar with major sustainability reporting frameworks,Collects data and supports report preparation,"Understands GRI, SASB, TCFD, and CDP frameworks",Collects sustainability data from digital systems and sources,"Uses sustainability reporting software (e.g., Workiva, Diligent ESG)",Ensures data quality and documentation for audits,Assists with stakeholder engagement for reporting,Understands assurance and verification requirements
3.6.2,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability reporting and disclosure (GRI, SASB, TCFD)",INTERMEDIATE,Applies reporting standards and digital disclosure platforms,Prepares sustainability reports independently,Prepares comprehensive sustainability reports aligned with multiple frameworks,"Uses software platforms automating framework alignment (e.g., mapping to GRI and SASB simultaneously)",Implements automated data pipelines from operational systems to reporting platforms,Ensures report credibility through third-party assurance,Creates materiality assessments driving report content,"Writes clear, compelling sustainability narratives"
3.6.2,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability reporting and disclosure (GRI, SASB, TCFD)",ADVANCED,Expert in sustainability disclosure and integrated reporting,Leads corporate sustainability reporting and disclosure strategy,"Develops comprehensive disclosure strategies meeting investor, regulatory, and stakeholder needs",Implements automated ESG data management systems enterprise-wide,"Ensures compliance with mandatory climate disclosure regulations (SEC, EU CSRD)",Produces integrated reports connecting financial and sustainability performance,Uses blockchain for supply chain disclosures and verification,Creates real-time sustainability dashboards for internal and external audiences
3.6.2,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability reporting and disclosure (GRI, SASB, TCFD)",EXPERT,Shapes sustainability reporting practices and standards,Influences disclosure policy and practice globally,Influences development of reporting standards and frameworks,Advises regulators on disclosure requirements,Develops innovative disclosure approaches adopted widely,Achieves recognition for sustainability reporting excellence,Publishes on sustainability disclosure and transparency,Ensures reporting drives performance improvement not just compliance
3.6.3,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Stakeholder engagement for sustainability,FOUNDATIONAL,Understands sustainability stakeholder categories and engagement basics,Supports stakeholder engagement activities,Identifies key sustainability stakeholders for organization,Assists with stakeholder surveys and feedback collection,Uses social media and digital tools for stakeholder communication,Attends stakeholder meetings and documents input,Responds to stakeholder inquiries on sustainability,Understands stakeholder information needs and preferences
3.6.3,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Stakeholder engagement for sustainability,INTERMEDIATE,Applies stakeholder engagement strategies and digital tools,Manages stakeholder engagement programs,Develops stakeholder engagement strategies for sustainability initiatives,Conducts virtual and in-person stakeholder consultations,Uses online platforms for ongoing stakeholder dialogue and collaboration,Implements social media campaigns engaging stakeholders on sustainability,Analyzes stakeholder feedback to inform strategy,"Builds relationships with key stakeholder groups (investors, NGOs, communities)"
3.6.3,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Stakeholder engagement for sustainability,ADVANCED,Expert in sustainability stakeholder engagement and partnership building,Leads enterprise stakeholder engagement strategy,Develops comprehensive stakeholder engagement strategies across stakeholder types,Uses AI and text analytics to analyze stakeholder communications at scale,"Builds strategic partnerships with NGOs, investors, and other organizations",Facilitates multi-stakeholder initiatives addressing complex sustainability challenges,Engages skeptical or critical stakeholders constructively,Uses digital platforms enabling continuous stakeholder dialogue
3.6.3,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Stakeholder engagement for sustainability,EXPERT,Shapes stakeholder engagement practices in corporate sustainability,Leads transformative multi-stakeholder initiatives,Develops innovative stakeholder engagement models adopted widely,Leads major multi-stakeholder collaborations advancing sustainability,Influences corporate practices on stakeholder engagement and materiality,Achieves recognition for stakeholder engagement excellence,Publishes on stakeholder capitalism and engagement,Ensures stakeholder engagement is authentic not performative
3.6.4,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Materiality assessment and prioritization,FOUNDATIONAL,Understands materiality concept and double materiality (financial and impact),Supports materiality assessment processes,Explains materiality and why it matters for ESG strategy,Collects stakeholder input for materiality assessments,Researches ESG issues relevant to industry,Uses materiality assessment templates and tools,Documents assessment findings,Understands difference between financial and impact materiality
3.6.4,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Materiality assessment and prioritization,INTERMEDIATE,Applies materiality assessment frameworks and digital analysis tools,Conducts materiality assessments independently,Designs and conducts comprehensive materiality assessments,"Uses surveys, interviews, and digital listening to gather stakeholder input","Analyzes industry trends, risks, and peer performance",Applies text analytics to analyze stakeholder communications at scale,Creates materiality matrices prioritizing ESG issues,Integrates financial and impact materiality perspectives
3.6.4,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Materiality assessment and prioritization,ADVANCED,Expert in materiality and ESG prioritization,Leads dynamic materiality processes informing strategy,Develops sophisticated materiality approaches integrating multiple data sources,Uses AI to continuously monitor emerging material issues,Conducts predictive materiality forecasting future ESG risks and opportunities,Integrates materiality into enterprise risk management,Creates dynamic materiality frameworks adapting to rapid change,Links materiality to business strategy and capital allocation
3.6.4,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Materiality assessment and prioritization,EXPERT,Shapes materiality practices in corporate sustainability,Influences materiality standards and practices,Influences materiality standards and frameworks development,Develops innovative materiality approaches adopted widely,"Advises on regulatory materiality requirements (SEC, EU)",Achieves recognition for materiality thought leadership,Publishes influential research on materiality,Ensures materiality drives meaningful sustainability action
3.6.5,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability performance metrics and KPIs Developing, tracking, and reporting meaningful sustainability metrics using digital systems and ensuring they drive continuous improvement.",FOUNDATIONAL,Understands sustainability metrics and KPIs basics,Tracks and reports sustainability metrics,Collects sustainability data accurately and consistently,Uses sustainability data management systems,"Calculates basic metrics (carbon footprint, waste diversion, water use)",Understands metric definitions and calculation methodologies,Tracks performance against targets,Identifies data quality issues
3.6.5,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability performance metrics and KPIs Developing, tracking, and reporting meaningful sustainability metrics using digital systems and ensuring they drive continuous improvement.",INTERMEDIATE,Applies performance measurement frameworks and digital tracking tools,Develops and manages sustainability metrics programs,"Selects appropriate metrics aligned with strategy and frameworks (GRI, SASB)",Implements automated data collection systems reducing manual effort,Develops dashboards visualizing performance for different audiences,Sets science-based targets and tracks progress,Benchmarks performance against peers and industry standards,Ensures data quality through validation and verification
3.6.5,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability performance metrics and KPIs Developing, tracking, and reporting meaningful sustainability metrics using digital systems and ensuring they drive continuous improvement.",ADVANCED,Expert in sustainability performance management and analytics,Leads enterprise sustainability measurement and management systems,Develops comprehensive sustainability performance management systems,Implements AI-powered analytics identifying performance drivers and improvement opportunities,Creates real-time sustainability dashboards for C-suite and operations,Links sustainability KPIs to compensation and incentives,Uses predictive analytics for performance forecasting,Implements blockchain-based supply chain metrics and verification
3.6.5,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability performance metrics and KPIs Developing, tracking, and reporting meaningful sustainability metrics using digital systems and ensuring they drive continuous improvement.",EXPERT,Shapes sustainability performance measurement practices,Influences how sustainability performance is measured and managed,Develops innovative measurement approaches adopted widely,Influences standards for sustainability metrics and KPIs,Achieves recognition for performance management excellence,Publishes on sustainability performance measurement,Demonstrates how metrics drive business and sustainability value,Advises on linking executive compensation to sustainability
3.7.1,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Circular economy strategy and business model design,FOUNDATIONAL,Understands circular economy principles and how they differ from linear models,Supports circular economy initiatives with data and analysis,"Explains circular economy concepts (reduce, reuse, recycle, regenerate)",Identifies linear processes that could become circular,Maps material flows through processes or facilities,Uses digital tools to track material use and waste generation,Understands business model innovation for circularity,Recognizes circular economy examples in various industries
3.7.1,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Circular economy strategy and business model design,INTERMEDIATE,Applies circular economy frameworks and digital tracking tools,Develops circular strategies and programs,Conducts circular economy assessments for organizations or products,"Designs circular business model alternatives (subscription, leasing, take-back)",Uses IoT sensors and RFID to track products and materials through lifecycles,Develops industrial symbiosis connections using digital matching platforms,Implements product-as-a-service models with digital monitoring and maintenance,Calculates economic and environmental benefits of circular approaches
3.7.1,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Circular economy strategy and business model design,ADVANCED,Expert in circular economy strategy and systems transformation,Leads enterprise circular economy transformations,Transforms business models comprehensively toward circularity,Designs multi-stakeholder circular systems at regional or industry level,Uses AI to optimize material flows and identify circular opportunities at scale,Implements digital product passports tracking materials through multiple lifecycles,Develops reverse supply chains with automated sorting and processing,Creates platform business models enabling sharing and circular flows
3.7.1,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Circular economy strategy and business model design,EXPERT,Shapes circular economy practices and policy,Leads systemic transitions to circular economy at scale,Develops circular economy strategies adopted across sectors,"Influences circular economy policy at regional, national, or international level",Creates innovative circular business models scaled globally,Achieves recognition as circular economy thought leader,Publishes influential research on circular economy,Demonstrates significant environmental and economic benefits of circularity
3.7.2,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Waste reduction and zero waste programs,FOUNDATIONAL,Understands waste hierarchy and reduction principles,Supports waste reduction initiatives and tracks performance,"Explains waste hierarchy (reduce, reuse, recycle, recover, dispose)",Conducts waste audits and characterization studies,Tracks waste generation and diversion using digital systems,Identifies obvious waste reduction opportunities,Supports recycling and composting programs,Educates others on waste reduction practices
3.7.2,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Waste reduction and zero waste programs,INTERMEDIATE,Applies zero waste principles and digital waste management tools,Designs and implements waste reduction programs,Develops comprehensive waste reduction strategies and zero waste plans,Implements digital waste tracking providing real-time visibility,Uses data analytics to identify waste generation drivers and reduction opportunities,Designs behavior change programs engaging stakeholders in waste reduction,Implements source separation and material recovery systems,Develops partnerships for material reuse and recycling
3.7.2,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Waste reduction and zero waste programs,ADVANCED,Expert in zero waste systems and waste analytics,Leads enterprise or community zero waste transformations,Develops and implements comprehensive zero waste strategies,Uses AI-powered waste analytics identifying patterns and opportunities across operations,Implements automated sorting systems using computer vision and robotics,Designs zero waste facilities with material recovery infrastructure,Achieves TRUE Zero Waste certification or similar recognition,"Develops innovative waste prevention strategies (redesign, dematerialization)"
3.7.2,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Waste reduction and zero waste programs,EXPERT,Shapes zero waste practices and policy,Leads systemic waste elimination at scale,Develops zero waste approaches adopted widely,"Influences waste policy at municipal, state, or national level",Creates innovative waste prevention and recovery models,Achieves recognition as zero waste leader,Publishes influential work on waste reduction,Demonstrates significant waste elimination and resource recovery
3.7.3,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Product lifecycle assessment and design,FOUNDATIONAL,Understands lifecycle thinking and product environmental impacts,Supports lifecycle assessments and circular design,"Explains product lifecycle stages (extraction, production, use, end-of-life)",Collects lifecycle inventory data for LCA studies,"Uses LCA software with guidance (SimaPro, GaBi, openLCA)","Understands circular design principles (design for disassembly, durability, recyclability)",Identifies environmental hotspots in product lifecycles,Recognizes design decisions affecting circularity
3.7.3,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Product lifecycle assessment and design,INTERMEDIATE,Applies LCA methodology and circular design principles,Conducts lifecycle assessments and supports circular product design,Conducts complete cradle-to-grave lifecycle assessments independently,Uses LCA databases and impact assessment methods appropriately,Interprets LCA results identifying improvement opportunities,"Applies circular design strategies (modularity, standardization, material selection)","Designs products for disassembly, repair, refurbishment, and recycling",Uses digital tools modeling environmental performance of design alternatives
3.7.3,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Product lifecycle assessment and design,ADVANCED,Expert in LCA and circular product design,Leads circular design strategies and complex LCA studies,Conducts sophisticated LCA studies informing major product decisions,Uses AI and machine learning to analyze lifecycle data and optimize designs,Implements digital product passports providing lifecycle transparency,Designs products-as-services with IoT monitoring enabling optimization,Develops eco-design guidelines and tools for organizations,Conducts social LCA and lifecycle costing alongside environmental LCA
3.7.3,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Product lifecycle assessment and design,EXPERT,Shapes LCA and circular design practices,Influences product design standards and policy,Develops innovative circular design approaches adopted sector-wide,Influences eco-design policy and standards,Achieves recognition as circular design thought leader,Publishes influential LCA and circular design research,Advances LCA methodology and tools,Demonstrates significant environmental benefits through circular design
3.7.4,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,"Reverse logistics and closed-loop systems Designing and managing systems that recover products and materials at end-of-life for reuse, remanufacturing, or recycling using digital tracking and optimization.",FOUNDATIONAL,Understands reverse logistics concepts and closed-loop systems,Supports reverse logistics operations,Explains reverse logistics and its role in circular economy,Tracks returns and recovered materials using digital systems,Assists with take-back program operations,Sorts and processes returned materials for recovery,"Understands refurbishment, remanufacturing, and recycling processes",Uses inventory management systems for recovered materials
3.7.4,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,"Reverse logistics and closed-loop systems Designing and managing systems that recover products and materials at end-of-life for reuse, remanufacturing, or recycling using digital tracking and optimization.",INTERMEDIATE,Applies reverse logistics design and optimization principles,Designs and manages reverse logistics programs,Designs take-back programs for products and packaging,"Implements digital tracking systems for returns (barcodes, RFID, blockchain)","Optimizes reverse logistics networks (collection points, transportation, processing)",Develops partnerships for material recovery and reprocessing,Uses data analytics to forecast return volumes and composition,Implements quality control for refurbished and remanufactured products
3.7.4,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,"Reverse logistics and closed-loop systems Designing and managing systems that recover products and materials at end-of-life for reuse, remanufacturing, or recycling using digital tracking and optimization.",ADVANCED,Expert in reverse supply chain design and closed-loop systems,Leads enterprise reverse logistics and circular systems,Designs comprehensive closed-loop systems integrating forward and reverse flows,"Uses AI for reverse logistics optimization (routing, facility location, processing)",Implements automated sorting and grading using computer vision and robotics,Develops digital platforms facilitating product returns and material exchanges,Creates remanufacturing operations extending product life,Uses IoT and predictive maintenance extending product useful life
3.7.4,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,"Reverse logistics and closed-loop systems Designing and managing systems that recover products and materials at end-of-life for reuse, remanufacturing, or recycling using digital tracking and optimization.",EXPERT,Shapes reverse logistics and closed-loop system practices,Leads systemic development of circular supply chains,Develops innovative reverse logistics models adopted sector-wide,Influences policy on producer responsibility and product stewardship,Creates transformative closed-loop systems at scale,Achieves recognition as reverse logistics thought leader,Publishes influential research on reverse supply chains,Demonstrates significant environmental and economic benefits of closed-loop systems
3.7.5,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Material flow analysis and optimization,FOUNDATIONAL,Understands material flow concepts and mass balance principles,Maps and tracks material flows,Creates basic material flow diagrams (Sankey diagrams),Collects material input and output data,Tracks material use through processes or facilities,Calculates material balances identifying losses and waste,Uses material flow analysis software with guidance,Understands stocks and flows concepts
3.7.5,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Material flow analysis and optimization,INTERMEDIATE,Applies material flow analysis methods and digital tracking tools,Conducts material flow assessments and identifies optimization opportunities,Conducts comprehensive material flow analysis for facilities or organizations,"Uses software tools for material flow modeling (STAN, Umberto)",Analyzes material flows across supply chains using digital data,Implements IoT sensors and digital systems tracking material flows in real-time,Identifies material efficiency improvements and circular opportunities,Quantifies environmental and economic impacts of material flows
3.7.5,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Material flow analysis and optimization,ADVANCED,Expert in material flow analysis and industrial ecology,Leads material flow optimization at system or regional level,Conducts sophisticated material flow analysis for industries or regions,Uses AI and machine learning to optimize material flows across networks,Develops digital twins modeling material flows and testing circular scenarios,Implements blockchain-based material tracking ensuring transparency,Designs industrial symbiosis networks optimizing material flows between organizations,Conducts dynamic material flow analysis modeling flows over time
3.7.5,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Material flow analysis and optimization,EXPERT,Shapes material flow analysis and industrial ecology practices,Influences systemic material efficiency and circularity,Develops innovative material flow analysis methods adopted widely,Influences material efficiency and circularity policy,Conducts national or global material flow assessments,Achieves recognition as industrial ecology thought leader,Publishes influential research on material flows and circular economy,Advances understanding of socio-economic metabolism
4.1.1,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Vegetation sampling and assessment,FOUNDATIONAL,Understands basic vegetation sampling concepts and common plant identification,Conducts vegetation surveys following established protocols,Sets up monitoring plots according to protocols,Accurately records species presence and basic cover estimates,Uses plant identification guides and apps effectively,Collects voucher specimens when needed for verification,Operates GPS and mobile data collection devices,Recognizes when environmental conditions affect data quality
4.1.1,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Vegetation sampling and assessment,INTERMEDIATE,Applies vegetation ecology principles; proficient in regional flora,Designs sampling strategies and leads field crews,Selects appropriate sampling methods for objectives and vegetation types,Identifies most regional plant species to genus or species in the field,"Estimates cover, density, and frequency accurately",Recognizes vegetation condition and successional stage,Adapts protocols to site-specific conditions appropriately,Trains and supervises field crew members
4.1.1,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Vegetation sampling and assessment,ADVANCED,Expert in vegetation assessment methodology and plant ecology,Develops monitoring programs and analyzes complex vegetation patterns,Designs comprehensive vegetation monitoring programs,Analyzes long-term vegetation trends and management responses,Uses multivariate analysis to interpret vegetation patterns,"Integrates multiple data sources (field, remote sensing, historical)",Publishes or presents vegetation assessment results,Develops or adapts monitoring protocols for novel conditions
4.1.1,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Vegetation sampling and assessment,EXPERT,Shapes vegetation monitoring practices in field,Provides strategic leadership on vegetation assessment programs,Directs large-scale vegetation monitoring initiatives,Develops innovative monitoring approaches adopted widely,Influences vegetation monitoring standards and protocols,Provides expert consultation on complex vegetation issues,Publishes influential vegetation research and methods,Achieves recognition for vegetation monitoring excellence
4.1.2,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Wildlife observation and sign interpretation,FOUNDATIONAL,Familiar with common regional wildlife and basic survey methods,Conducts wildlife surveys following protocols,Identifies common wildlife species by sight and sound,"Recognizes obvious wildlife sign (tracks, scat, nests)",Follows survey protocols accurately and consistently,Records observations using standardized datasheets or apps,"Uses binoculars, spotting scopes, and field guides effectively",Deploys and checks camera traps following protocols
4.1.2,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Wildlife observation and sign interpretation,INTERMEDIATE,Proficient in wildlife identification; understands survey design,Designs and implements wildlife monitoring programs,Selects appropriate survey methods for species and objectives,Identifies wildlife to species from subtle sign or brief observations,Interprets behavior and habitat use from observations and sign,Uses distance sampling and occupancy modeling concepts,Manages camera trap data and uses AI identification tools,Trains field crews in wildlife survey techniques
4.1.2,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Wildlife observation and sign interpretation,ADVANCED,Expert in wildlife survey methodology and population ecology,Leads comprehensive wildlife monitoring programs,Designs statistically rigorous survey programs,"Uses advanced techniques (mark-recapture, telemetry, eDNA)",Analyzes population trends and habitat relationships,Implements multi-species monitoring efficiently,Uses occupancy modeling and N-mixture models,Evaluates survey effectiveness and optimizes methods
4.1.2,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Wildlife observation and sign interpretation,EXPERT,Shapes wildlife monitoring practices at landscape scale,Directs major wildlife assessment initiatives,Leads regional or national wildlife monitoring programs,Develops innovative monitoring approaches adopted widely,Influences wildlife monitoring policy and standards,Provides expert consultation on complex wildlife issues,Publishes influential wildlife monitoring research,Achieves recognition for wildlife assessment excellence
4.1.3,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Water quality testing and aquatic surveys,FOUNDATIONAL,Understands basic water quality parameters and sampling procedures,Collects water samples and conducts field measurements,Measures field parameters accurately using calibrated equipment,Collects water samples following proper protocols,Maintains chain of custody for laboratory samples,Records data accurately with appropriate metadata,"Recognizes obvious water quality problems (algae blooms, pollution)",Maintains and calibrates field equipment
4.1.3,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Water quality testing and aquatic surveys,INTERMEDIATE,Applies water quality assessment methods; understands aquatic ecology,Designs and implements water quality monitoring programs,Designs sampling strategies appropriate to objectives and water bodies,"Conducts biological assessments (macroinvertebrate, fish surveys)",Uses water quality data to assess stream health and impairment,Deploys and manages water quality sensors and data loggers,Analyzes water quality trends over time,Identifies pollution sources using multiple lines of evidence
4.1.3,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Water quality testing and aquatic surveys,ADVANCED,Expert in aquatic monitoring and water quality science,Leads comprehensive aquatic assessment programs,Develops watershed-scale water quality monitoring programs,"Uses multiple assessment methods (chemical, physical, biological)",Conducts load calculations and pollutant source tracking,Evaluates water quality against standards and criteria,Uses real-time sensor networks for continuous monitoring,Implements automated data validation and quality control
4.1.3,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Water quality testing and aquatic surveys,EXPERT,Shapes water quality monitoring practices,Directs major water quality assessment initiatives,Leads regional water quality monitoring networks,Develops innovative aquatic assessment approaches,Influences water quality monitoring standards and methods,Provides expert consultation on water quality issues,Publishes influential water quality research,Achieves recognition for aquatic monitoring excellence
4.1.4,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,"Soil characterization and sampling Assessing soil properties, health, and function through field observation and sampling.",FOUNDATIONAL,Understands basic soil concepts and sampling procedures,Collects soil samples and describes simple profiles,Digs and describes soil profile pits following protocols,Identifies major soil horizons and properties,Collects representative soil samples avoiding contamination,Uses soil texture by feel method,Records soil observations using standard forms,Uses GPS to document sampling locations accurately
4.1.4,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,"Soil characterization and sampling Assessing soil properties, health, and function through field observation and sampling.",INTERMEDIATE,Applies soil science principles; understands soil-plant-water relationships,Conducts comprehensive soil assessments,Describes soils using official NRCS methodology,Classifies soils to subgroup level when needed,Conducts soil health assessments using multiple indicators,Designs soil sampling strategies for different objectives,Interprets soil test results for management recommendations,"Uses field tests (infiltration, penetrometer, aggregate stability)"
4.1.4,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,"Soil characterization and sampling Assessing soil properties, health, and function through field observation and sampling.",ADVANCED,Expert in soil characterization and pedology,Leads soil survey and assessment programs,Conducts detailed soil surveys for complex landscapes,Uses soil information for landscape-level planning,Correlates soils across geographic areas,Evaluates soil carbon sequestration potential,Designs soil monitoring programs for restoration or management,Uses proximal soil sensing and digital soil mapping
4.1.4,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,"Soil characterization and sampling Assessing soil properties, health, and function through field observation and sampling.",EXPERT,Shapes soil assessment practices in field,Directs major soil survey and monitoring initiatives,Leads landscape-scale soil assessment programs,Develops innovative soil assessment approaches,Influences soil survey and monitoring standards,Provides expert consultation on complex soil issues,Publishes influential soil research,Achieves recognition for soil science excellence
4.1.5,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Digital data collection and management,FOUNDATIONAL,Familiar with mobile devices and basic data collection apps,Collects data using established digital forms and protocols,Uses smartphones or tablets for field data collection,Follows digital data collection protocols accurately,Takes geotagged photos to document observations,Syncs data from field devices when connectivity available,"Recognizes data quality issues (GPS accuracy, missing data)",Maintains charged devices and backup power
