Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Description,Job Task 1,Job Task 2,Job Task 3,Foundational - Knowledge,Foundational - Application,Intermediate - Knowledge,Intermediate - Application,Advanced - Knowledge,Advanced - Application,Expert - Knowledge,Expert - Application,Public Agencies,Private Sector,NGOs,Consulting,Academia
3.5.4,3,Management & Administrative Skills,3.5,LEADERSHIP,Cross-generational leadership and bridging technological divides,"Leading teams spanning multiple generations with vastly different relationships to technology, work, and environmental values.","Build cohesive teams across Baby Boomers, Gen X, Millennials, and Gen Z with different technology comfort levels",Leverage strengths of different generations while addressing stereotypes and tensions,Create development pathways that work for traditional and non-traditional career patterns,Awareness that generational differences affect team dynamics,Works effectively with colleagues of all ages,Applies understanding of generational values and technology adoption patterns,Manages multigenerational teams effectively,Expert in generational dynamics and inclusive team design,Builds organizational culture transcending generational divides,Shapes intergenerational collaboration in environmental sector,Leads sector toward age-inclusive practices and culture,Managing teams from field technicians to senior scientists across age ranges,Integrating sustainability veterans with digital native analysts,Blending founder/longtime staff with younger program staff,Managing from senior partners to early-career consultants,"Bridging faculty, postdocs, and students across generations"
3.5.5,3,Management & Administrative Skills,3.5,LEADERSHIP,Ethical leadership in the age of AI and algorithmic decision-making,"Leading with integrity as AI, algorithms, and automation increasingly influence environmental decisions and potentially replicate or amplify biases.","Ensure AI tools used in environmental work are transparent, accountable, and aligned with conservation values","Address ethical challenges of algorithmic decision-making (bias, transparency, accountability)","Balance data-driven insights with human judgment, traditional knowledge, and community values",Awareness that AI and algorithms raise ethical issues,Questions AI recommendations and maintains ethical awareness,Applies AI ethics frameworks to environmental work,Implements AI ethically in programs and decisions,Expert in AI ethics and responsible technology governance,Develops organizational AI ethics frameworks and oversight,Shapes ethical technology governance in environmental sector,Leads sector toward responsible AI and algorithmic accountability,"Algorithmic permitting, AI-driven enforcement, predictive conservation planning","AI supply chain monitoring, algorithmic sustainability ratings","AI for conservation prioritization, predictive threat modeling","AI-powered analysis, algorithmic recommendations to clients","AI research ethics, algorithmic bias in conservation science"
3.6.1,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,ESG strategy development and implementation,"Creating comprehensive environmental, social, and governance strategies aligned with business goals and stakeholder expectations in rapidly evolving regulatory and market contexts.",Develop ESG strategies using AI-powered materiality assessments and real-time stakeholder sentiment analysis,"Implement sustainability initiatives leveraging IoT, blockchain, and digital platforms for verification and transparency",Use predictive analytics to anticipate regulatory changes and market shifts affecting ESG priorities,Understands ESG concepts and why they matter to business,Supports ESG program implementation with data collection and reporting,Applies ESG strategy frameworks and digital sustainability tools,Develops and implements ESG programs for business units or functions,"Expert in ESG strategy, corporate sustainability, and digital transformation for sustainability",Leads enterprise ESG strategy and transformation,Shapes ESG and corporate sustainability practices globally,Leads transformative sustainability initiatives at scale,"Government ESG requirements, public sector sustainability strategies","Corporate ESG strategy, sustainability transformation, investor relations","Corporate engagement campaigns, ESG advocacy, partnership strategies","ESG strategy advisory, sustainability transformation services","ESG research, corporate sustainability teaching, business school integration"
3.6.2,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability reporting and disclosure (GRI, SASB, TCFD)","Preparing transparent, credible sustainability reports meeting evolving stakeholder expectations and regulatory requirements using digital platforms and automated data systems.","Prepare sustainability reports using automated data collection from IoT sensors, ERP systems, and supply chain platforms","Use AI-powered tools to ensure alignment with multiple reporting frameworks (GRI, SASB, TCFD, SEC climate disclosure)",Create interactive digital sustainability reports with real-time data and blockchain verification,Familiar with major sustainability reporting frameworks,Collects data and supports report preparation,Applies reporting standards and digital disclosure platforms,Prepares sustainability reports independently,Expert in sustainability disclosure and integrated reporting,Leads corporate sustainability reporting and disclosure strategy,Shapes sustainability reporting practices and standards,Influences disclosure policy and practice globally,"Government sustainability reporting, public disclosure requirements","Corporate sustainability reports, SEC filings, investor communications","Impact reporting, accountability to donors and stakeholders","Sustainability reporting services, assurance, frameworks advisory","Sustainability reporting research, teaching integrated reporting"
3.6.3,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Stakeholder engagement for sustainability,"Building relationships with diverse stakeholders (investors, employees, customers, communities, NGOs) to inform sustainability strategy and build support for initiatives using digital and traditional engagement methods.","Use digital platforms, social media, and virtual engagement to reach diverse stakeholders globally",Apply AI-powered sentiment analysis to understand stakeholder priorities and concerns at scale,Create multi-stakeholder partnerships using collaborative platforms and digital governance tools,Understands sustainability stakeholder categories and engagement basics,Supports stakeholder engagement activities,Applies stakeholder engagement strategies and digital tools,Manages stakeholder engagement programs,Expert in sustainability stakeholder engagement and partnership building,Leads enterprise stakeholder engagement strategy,Shapes stakeholder engagement practices in corporate sustainability,Leads transformative multi-stakeholder initiatives,"Public engagement on sustainability policies, community partnerships","Investor relations, customer engagement, employee engagement, community relations","Corporate engagement campaigns, stakeholder organizing, coalition building","Stakeholder engagement services, materiality assessments","Stakeholder theory research, teaching multi-stakeholder approaches"
3.6.4,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,Materiality assessment and prioritization,Identifying and prioritizing ESG issues that matter most to the business and stakeholders using data-driven approaches and digital tools.,"Conduct dynamic materiality assessments using AI analysis of stakeholder communications, news, and social media",Use predictive analytics to anticipate emerging material issues before they become critical,Create interactive materiality matrices updating in real-time as priorities shift,Understands materiality concept and double materiality (financial and impact),Supports materiality assessment processes,Applies materiality assessment frameworks and digital analysis tools,Conducts materiality assessments independently,Expert in materiality and ESG prioritization,Leads dynamic materiality processes informing strategy,Shapes materiality practices in corporate sustainability,Influences materiality standards and practices,Issue prioritization for policy development,"ESG materiality assessments, investor relations, strategic planning","Corporate accountability campaigns, issue prioritization","Materiality assessment services, ESG advisory","Materiality research, ESG pedagogy"
3.6.5,3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,"Sustainability performance metrics and KPIs Developing, tracking, and reporting meaningful sustainability metrics using digital systems and ensuring they drive continuous improvement.",,"Implement automated ESG data collection using IoT sensors, blockchain supply chain tracking, and integrated systems",Develop real-time sustainability dashboards using AI-powered analytics,Link sustainability KPIs to business performance and compensation using digital performance management systems,Understands sustainability metrics and KPIs basics,Tracks and reports sustainability metrics,Applies performance measurement frameworks and digital tracking tools,Develops and manages sustainability metrics programs,Expert in sustainability performance management and analytics,Leads enterprise sustainability measurement and management systems,Shapes sustainability performance measurement practices,Influences how sustainability performance is measured and managed,"Sustainability performance tracking, public transparency","ESG metrics, integrated reporting, investor communications, operations management","Impact metrics, accountability to stakeholders, program evaluation","Metrics development services, performance management advisory","Sustainability metrics research, accounting for sustainability"
3.7.1,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Circular economy strategy and business model design,"Redesigning business models and systems to eliminate waste, keep materials in use, and regenerate natural systems using digital platforms and data-driven approaches.","Develop circular business models (product-as-a-service, sharing platforms, remanufacturing) enabled by IoT tracking and digital platforms",Use AI and material flow analysis to identify circularity opportunities across value chains,Design digital marketplaces connecting waste generators with material users in industrial symbiosis networks,Understands circular economy principles and how they differ from linear models,Supports circular economy initiatives with data and analysis,Applies circular economy frameworks and digital tracking tools,Develops circular strategies and programs,Expert in circular economy strategy and systems transformation,Leads enterprise circular economy transformations,Shapes circular economy practices and policy,Leads systemic transitions to circular economy at scale,"Circular economy strategies, procurement policies, infrastructure development","Circular business model innovation, supply chain circularity, product design","Circular economy advocacy, systems change initiatives, coalition building","Circular economy strategy services, business model innovation advisory","Circular economy research, systems analysis, pedagogy"
3.7.2,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Waste reduction and zero waste programs,"Implementing strategies to systematically reduce and eliminate waste using data analytics, automation, and behavior change approaches.",Use IoT sensors and AI-powered analytics to identify waste generation patterns and reduction opportunities in real-time,"Implement digital waste tracking systems providing transparency on waste generation, diversion, and disposal",Design gamified behavior change programs using mobile apps to engage employees or communities in waste reduction,Understands waste hierarchy and reduction principles,Supports waste reduction initiatives and tracks performance,Applies zero waste principles and digital waste management tools,Designs and implements waste reduction programs,Expert in zero waste systems and waste analytics,Leads enterprise or community zero waste transformations,Shapes zero waste practices and policy,Leads systemic waste elimination at scale,"Municipal zero waste programs, government facility waste reduction","Corporate zero waste goals, manufacturing waste reduction, retail waste prevention","Zero waste advocacy, community programs, policy campaigns","Zero waste strategy services, waste audits, program design","Campus zero waste, waste research, student engagement"
3.7.3,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Product lifecycle assessment and design,"Analyzing environmental impacts across product lifecycles and designing products for circularity, longevity, and end-of-life recovery using digital tools.",Conduct lifecycle assessments using cloud-based LCA software and databases with real-time environmental data,"Use AI-powered design tools to optimize products for disassembly, repair, and material recovery",Implement digital product passports using blockchain to track materials and enable circular flows,Understands lifecycle thinking and product environmental impacts,Supports lifecycle assessments and circular design,Applies LCA methodology and circular design principles,Conducts lifecycle assessments and supports circular product design,Expert in LCA and circular product design,Leads circular design strategies and complex LCA studies,Shapes LCA and circular design practices,Influences product design standards and policy,"Green procurement, eco-design requirements, product standards","Product development, sustainable design, material innovation","Product stewardship advocacy, eco-design campaigns","LCA services, circular design advisory, eco-design training","LCA research, circular design education, methodology development"
3.7.4,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,"Reverse logistics and closed-loop systems Designing and managing systems that recover products and materials at end-of-life for reuse, remanufacturing, or recycling using digital tracking and optimization.",,Design reverse supply chains using AI-powered route optimization and demand forecasting for returns,"Implement digital take-back systems with QR codes, RFID, or blockchain tracking material recovery",Use predictive analytics to forecast return volumes and optimize refurbishment and remanufacturing operations,Understands reverse logistics concepts and closed-loop systems,Supports reverse logistics operations,Applies reverse logistics design and optimization principles,Designs and manages reverse logistics programs,Expert in reverse supply chain design and closed-loop systems,Leads enterprise reverse logistics and circular systems,Shapes reverse logistics and closed-loop system practices,Leads systemic development of circular supply chains,"E-waste collection systems, product stewardship programs, infrastructure development","Product take-back, remanufacturing operations, packaging recovery","Producer responsibility advocacy, circular economy promotion","Reverse logistics design, supply chain optimization, EPR program development","Reverse logistics research, closed-loop supply chain management"
3.7.5,3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,Material flow analysis and optimization,"Analyzing and optimizing material flows through industrial systems, supply chains, and economies using data analytics and systems modeling.","Conduct material flow analysis using AI-powered tools integrating supply chain data, IoT sensors, and satellite imagery",Use digital twins to model material flows and test circular economy scenarios,Develop real-time material tracking dashboards using blockchain and IoT for supply chain visibility,Understands material flow concepts and mass balance principles,Maps and tracks material flows,Applies material flow analysis methods and digital tracking tools,Conducts material flow assessments and identifies optimization opportunities,Expert in material flow analysis and industrial ecology,Leads material flow optimization at system or regional level,Shapes material flow analysis and industrial ecology practices,Influences systemic material efficiency and circularity,"Regional material flow analysis, resource policy, industrial symbiosis facilitation","Supply chain material tracking, manufacturing optimization, resource efficiency","Material flow research, resource policy advocacy, circular economy promotion","Material flow analysis services, optimization advisory, industrial ecology consulting","Industrial ecology research, material flow accounting, systems analysis"
4.1.1,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Vegetation sampling and assessment,Measuring plant communities and characteristics using standardized methods to track changes over time.,"Establish vegetation monitoring plots and collect data on species composition, cover, and density",Use digital data collection tools and GPS to record precise plot locations and measurements,"Identify plant species in the field using keys, apps, or expert consultation",Understands basic vegetation sampling concepts and common plant identification,Conducts vegetation surveys following established protocols,Applies vegetation ecology principles; proficient in regional flora,Designs sampling strategies and leads field crews,Expert in vegetation assessment methodology and plant ecology,Develops monitoring programs and analyzes complex vegetation patterns,Shapes vegetation monitoring practices in field,Provides strategic leadership on vegetation assessment programs,"Rangeland monitoring, forest inventory, threatened plant surveys *","Environmental compliance monitoring, restoration success tracking *","Preserve monitoring, invasive species tracking, habitat assessment *","Vegetation surveys for NEPA, baseline documentation *","Research plots, experimental treatments, long-term ecological research"
4.1.2,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Wildlife observation and sign interpretation,"Detecting and recording wildlife presence, abundance, and behavior through direct observation and indirect evidence.","Conduct wildlife surveys using appropriate methods (transects, point counts, camera traps)","Identify and interpret wildlife sign (tracks, scat, nests, feeding sign)",Use digital tools to document observations and manage wildlife data,Familiar with common regional wildlife and basic survey methods,Conducts wildlife surveys following protocols,Proficient in wildlife identification; understands survey design,Designs and implements wildlife monitoring programs,Expert in wildlife survey methodology and population ecology,Leads comprehensive wildlife monitoring programs,Shapes wildlife monitoring practices at landscape scale,Directs major wildlife assessment initiatives,"Species inventory, population monitoring, endangered species surveys *","Wildlife surveys for development projects, mine reclamation monitoring *","Conservation monitoring, rare species tracking, wildlife corridor assessment *","Baseline wildlife surveys, impact monitoring, mitigation effectiveness *","Research surveys, population studies, wildlife ecology"
4.1.3,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Water quality testing and aquatic surveys,"Measuring physical, chemical, and biological characteristics of water bodies and streams.","Collect water samples and conduct field measurements (temperature, pH, dissolved oxygen, turbidity)","Conduct aquatic biological surveys (macroinvertebrates, fish, algae)",Use water quality sensors and data logging equipment,Understands basic water quality parameters and sampling procedures,Collects water samples and conducts field measurements,Applies water quality assessment methods; understands aquatic ecology,Designs and implements water quality monitoring programs,Expert in aquatic monitoring and water quality science,Leads comprehensive aquatic assessment programs,Shapes water quality monitoring practices,Directs major water quality assessment initiatives,"Stream monitoring, lake assessments, drinking water protection","Compliance monitoring, stormwater quality, industrial discharge","Watershed monitoring, stream restoration assessment, volunteer monitoring","Water quality surveys, TMDL studies, mitigation monitoring","Research monitoring, experimental treatments, water quality methods"
4.1.4,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,"Soil characterization and sampling Assessing soil properties, health, and function through field observation and sampling.",,Describe soil profiles and horizons using standard terminology and methods,"Collect soil samples for laboratory analysis (texture, nutrients, carbon, contaminants)","Conduct field tests of soil properties (texture by feel, infiltration, compaction)",Understands basic soil concepts and sampling procedures,Collects soil samples and describes simple profiles,Applies soil science principles; understands soil-plant-water relationships,Conducts comprehensive soil assessments,Expert in soil characterization and pedology,Leads soil survey and assessment programs,Shapes soil assessment practices in field,Directs major soil survey and monitoring initiatives,"Soil surveys, rangeland health assessments, erosion monitoring","Agricultural soil testing, contaminated site assessment, carbon programs","Restoration site assessment, soil health advocacy","Soil surveys for development, wetland delineation, Phase I/II assessments","Soil research plots, experimental treatments, soil genesis studies"
4.1.5,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Digital data collection and management,"Using mobile devices, apps, and systems to collect, manage, and share field data efficiently and accurately.",Use mobile data collection apps to record field observations in real-time,"Ensure data quality through validation, GPS accuracy checks, and photo documentation",Sync field data with office databases and GIS systems,Familiar with mobile devices and basic data collection apps,Collects data using established digital forms and protocols,Understands data management principles and mobile GIS,Designs digital data collection systems and manages field data,Expert in field data systems and digital workflows,Develops comprehensive field data management systems,Shapes field data practices in environmental sector,Leads digital transformation of field operations,"Standardized monitoring protocols, compliance tracking, resource inventory","Quality control, environmental compliance, asset management","Volunteer data collection, preserve monitoring, citizen science platforms","Project-specific data collection, client reporting systems","Research data collection, experimental protocols, student training"
4.2.1,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Restoration techniques and implementation,Applying practical methods to restore degraded ecosystems toward desired conditions.,"Implement restoration treatments including native planting, invasive removal, and soil amendments","Operate restoration equipment (seed drills, tree planters, mulch blowers)",Monitor restoration sites and adapt techniques based on success,Understands basic restoration principles and common techniques,Implements restoration activities following plans,Applies restoration ecology principles; understands regional ecosystems,Leads restoration implementation and adapts techniques,Expert in restoration methods; skilled in adaptive approaches,Designs and leads complex restoration projects,Shapes restoration practice at landscape scale,Leads transformative restoration initiatives,"Post-fire restoration, mine reclamation, wetland restoration","Mitigation site implementation, corporate restoration commitments","Preserve restoration, community restoration projects","Restoration implementation for clients, contractor oversight","Experimental restoration, demonstration projects"
4.2.2,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Invasive species control,"Removing or controlling non-native plants, animals, or pathogens that threaten ecosystem health.","Implement invasive species control using mechanical, chemical, or biological methods",Use integrated pest management approaches minimizing environmental impacts,Monitor treatment effectiveness and adapt strategies,Identifies common invasive species; understands control methods,Implements invasive control treatments following protocols,Applies integrated pest management; understands invasion ecology,Designs and implements invasive species strategies,Expert in invasive species management; skilled in restoration integration,Leads comprehensive invasive species programs,Shapes invasive species management at regional scale,Leads transformative invasive species initiatives,"Invasive species programs on public lands, aquatic invasive management","Vegetation management, right-of-way control, agricultural weed management","Preserve invasive control, volunteer weed pulls, advocacy","Invasive management for clients, treatment planning","Invasive species research, biocontrol testing"
4.2.3,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Prescribed burning and fire management,Using fire as a management tool to achieve ecological objectives while ensuring safety.,Assist with prescribed fire operations following burn plans,Monitor fire behavior and smoke during burns,Maintain fire equipment and ensure crew safety,Understands fire behavior basics and safety protocols,Functions as prescribed fire crew member,Applies fire behavior science; understands fire effects,Serves in prescribed fire leadership roles,Expert in prescribed fire; skilled in complex burning situations,Leads prescribed fire operations and programs,Shapes prescribed fire practice at landscape scale,Leads transformative fire management initiatives,"Fire management on public lands, hazardous fuels reduction","Private land burning, utility right-of-way management","Preserve prescribed fire programs, fire advocacy","Prescribed fire services for clients, burn planning","Experimental fires, fire ecology research"
4.2.4,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Erosion control and watershed treatment,Implementing practices that reduce soil loss and protect water quality.,"Install erosion control structures (check dams, wattles, silt fences)",Implement bioengineering techniques for streambank stabilization,Monitor erosion control effectiveness and adapt treatments,Understands erosion processes and basic control techniques,Installs erosion control measures following plans,Applies erosion science; understands watershed hydrology,Designs and implements erosion control strategies,Expert in erosion control and stream restoration,Leads comprehensive watershed treatment programs,Shapes erosion control practice at watershed scale,Leads transformative watershed restoration initiatives,"Road erosion control, stream restoration, post-fire rehabilitation","Construction erosion control, mine reclamation, agricultural conservation","Stream restoration, erosion control demonstration projects","Erosion control design, SWPPP development, stream restoration","Erosion research, demonstration projects, experimental treatments"
4.2.5,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Trail construction and maintenance,Building and maintaining trails that provide access while minimizing environmental impacts.,Construct sustainable trail segments following design plans,"Maintain existing trails through brushing, drainage work, and tread repair",Use appropriate tools and techniques for different trail types and conditions,Understands sustainable trail principles and basic techniques,Performs trail maintenance and assists with construction,Applies trail design principles; understands drainage and sustainability,Leads trail crews and constructs new trail segments,Expert in trail design and construction; skilled in complex projects,Designs and manages trail programs,Shapes trail practices at landscape scale,Leads transformative trail initiatives,"Trail systems on public lands, backcountry trails, urban trails","Resort trails, private land trails, trail design-build","Preserve trail systems, volunteer trail programs","Trail planning and design services, trail assessments","Campus trails, research site access"
4.3.1,4,Field Operations Skills,4.3,FIRE MANAGEMENT,Wildland firefighting Suppressing unwanted fires on wildlands using appropriate tactics and ensuring firefighter safety.,,Construct and maintain fireline using hand tools or equipment,Implement firing operations to remove fuel ahead of fire,Mop up hot spots and ensure fire containment,"Understands fire behavior basics, safety protocols, and firefighting fundamentals",Functions effectively as wildland firefighter on crews,Applies fire behavior science; understands tactical decision-making,Serves in tactical leadership roles on fires,Expert in fire operations; skilled in complex incident management,Serves in incident management positions,Shapes fire operations practices at national level,Provides strategic fire management leadership,"Federal/state wildland fire response, incident management","Contract firefighting crews, wildfire response services","Fire management for preserves, community fire response","Fire management planning, expert testimony","Fire research support, fire training programs"
4.3.2,4,Field Operations Skills,4.3,FIRE MANAGEMENT,Prescribed fire planning and execution,Developing burn plans and safely conducting prescribed fires to achieve ecological objectives.,"Develop comprehensive burn plans including objectives, prescriptions, and contingencies",Conduct prescribed burns as burn boss ensuring objectives are met safely,Monitor fire effects and document burn outcomes,Understands prescribed fire basics and ecological role of fire,Supports prescribed fire operations as crew member,Applies fire ecology; understands burn planning process,Develops burn plans and serves in prescribed fire leadership roles,Expert in prescribed fire; skilled in complex burning situations,Serves as burn boss for complex prescribed fires,Shapes prescribed fire practice regionally or nationally,Provides strategic leadership on prescribed fire,"Prescribed fire programs on public lands, ecosystem restoration","Private land burning programs, forestry burning","Preserve prescribed fire, fire advocacy, landowner assistance","Prescribed fire services, burn planning","Experimental fires, fire ecology research"
4.3.3,4,Field Operations Skills,4.3,FIRE MANAGEMENT,Fuels management Reducing wildfire risk and intensity by treating vegetation and fuels on the landscape.,,"Assess fuels and develop treatment strategies (mechanical thinning, prescribed fire, grazing)",Implement fuels treatments using appropriate methods and equipment,Monitor treatment effectiveness using fuel models and fire behavior analysis,Understands fuel types and basic treatment methods,Implements fuels treatments following plans,Applies fuels management principles; understands fire behavior relationships,Designs and implements fuels treatment projects,Expert in fuels management; skilled in landscape planning,Leads comprehensive fuels management programs,Shapes fuels management practice at regional scale,Provides strategic leadership on wildfire risk reduction,"Hazardous fuels reduction, wildfire risk mitigation, community protection","Forest management, wildfire risk reduction services","Fuels treatments on preserves, community wildfire programs","Fuels assessments, treatment planning, CWPP development","Fuels research, fire behavior studies"
4.3.4,4,Field Operations Skills,4.3,FIRE MANAGEMENT,Fire weather and behavior analysis,Understanding and predicting how weather and fuels interact to produce fire behavior.,Monitor fire weather and calculate fire danger indices,"Predict fire behavior using weather, fuels, and topography data",Brief fire personnel on expected fire behavior and weather trends,Understands basic fire weather elements and fire behavior concepts,Monitors weather and recognizes fire behavior patterns,Applies fire behavior science; interprets weather forecasts,Predicts fire behavior and provides fire weather briefings,Expert in fire behavior and meteorology; skilled in complex analysis,Serves as fire behavior analyst on incidents or in predictive services,Shapes fire behavior science and operational application,Provides strategic fire behavior expertise nationally,"Predictive services, fire behavior analysis on incidents, long-range planning","Fire weather services, wildfire risk modeling",Fire behavior support for prescribed fire programs,"Fire behavior analysis services, expert testimony","Fire behavior research, fire weather studies"
4.3.5,4,Field Operations Skills,4.3,FIRE MANAGEMENT,Post-fire rehabilitation,"Implementing treatments to reduce erosion, prevent invasive species establishment, and promote recovery after wildfire.",Assess post-fire conditions and erosion risk using BAER protocols,"Implement emergency stabilization treatments (mulching, seeding, barriers)",Monitor post-fire recovery and adapt restoration approaches,Understands post-fire processes and basic stabilization techniques,Implements post-fire treatments following plans,Applies BAER assessment methods; understands fire effects,Conducts BAER assessments and develops treatment plans,Expert in post-fire ecology and watershed rehabilitation,Leads comprehensive post-fire recovery programs,Shapes post-fire rehabilitation practices nationally,Provides strategic leadership on post-fire recovery,"BAER teams, post-fire recovery programs, watershed protection","Post-fire restoration services, watershed rehabilitation","Post-fire recovery on preserves, volunteer rehabilitation projects","BAER assessments, post-fire treatment planning","Post-fire ecology research, fire effects studies"
4.4.1,4,Field Operations Skills,4.4,SAFETY & EMERGENCY RESPONSE,Occupational safety and risk management,Identifying and mitigating hazards to prevent injuries and ensure safe field operations.,Conduct job hazard analyses before field activities,Ensure crew members use appropriate PPE and follow safety protocols,Investigate incidents and near-misses to prevent recurrence,Understands common field hazards and basic safety protocols,Works safely and identifies obvious hazards,Applies risk management principles; understands safety regulations,Conducts safety assessments and leads safe operations,Expert in safety management; understands safety culture,Develops and manages comprehensive safety programs,Shapes safety practices in environmental field operations,Provides strategic safety leadership,"Agency safety programs, contractor safety oversight","Corporate safety management, contractor safety","Volunteer safety programs, preserve operations safety","Safety program development, safety audits","Campus safety, research safety, field safety training"
4.4.2,4,Field Operations Skills,4.4,SAFETY & EMERGENCY RESPONSE,First aid and emergency medical response,Providing immediate medical care for injuries or illnesses in field settings.,Assess injuries and provide first aid in remote locations,Coordinate medical evacuations when necessary,Maintain first aid supplies and medical certifications,Holds basic first aid and CPR certification,Provides basic first aid for minor injuries,Holds Wilderness First Responder or EMT certification,Manages medical emergencies in remote settings,Holds advanced medical certifications; understands wilderness medicine,Provides advanced medical care and leads medical response,Shapes wilderness medicine practices,Provides medical program leadership,"Ranger medical response, remote duty station care","Expedition medicine, remote site medical support","Field program medical support, volunteer safety",Medical planning for remote projects,"Field research medical support, outdoor program medicine"
4.4.3,4,Field Operations Skills,4.4,SAFETY & EMERGENCY RESPONSE,Search and rescue operations,"Locating and assisting lost, injured, or stranded people in wildland areas.",Participate in search operations using established search patterns,"Navigate to remote locations using map, compass, and GPS",Provide emergency care and assist with evacuation,Understands basic search and rescue concepts and lost person behavior,Functions as searcher on search operations,Applies search theory and tactics; skilled in wilderness navigation,Serves as team leader on search operations,Expert in search management and lost person behavior,Plans and manages search operations,Shapes search and rescue practices regionally or nationally,Provides SAR strategic leadership,"Park SAR operations, wilderness rescue, backcountry emergencies","Mountain rescue, adventure tourism support","Volunteer SAR teams, search dog organizations",SAR training and planning services,"SAR research, outdoor recreation program safety"
4.4.4,4,Field Operations Skills,4.4,SAFETY & EMERGENCY RESPONSE,Hazardous materials awareness and response,Recognizing and safely responding to hazardous materials encountered during field operations.,Identify potential hazardous materials in field settings,Implement appropriate containment and notification procedures,Use personal protective equipment for hazmat situations,Completes HAZWOPER Awareness training; recognizes common hazards,Identifies hazardous materials and reports appropriately,Completes HAZWOPER Operations training; understands containment,Responds to hazmat incidents within training limits,Completes HAZWOPER Technician training; expert in site remediation,Manages hazmat response and remediation projects,Shapes hazmat practices in environmental operations,Provides strategic hazmat program leadership,"Illegal dump cleanups, abandoned site remediation, spill response *","Industrial site management, contaminated site cleanup *","Preserve hazmat management, community cleanup events *","Environmental site assessments, remediation management *","Laboratory safety, research site management"
4.4.5,4,Field Operations Skills,4.4,SAFETY & EMERGENCY RESPONSE,Emergency communication and incident reporting,Establishing and maintaining communication during emergencies and properly documenting incidents.,"Use radios, satellite phones, and emergency beacons to communicate during incidents",Document incidents thoroughly following organizational protocols,Coordinate with emergency responders and dispatch centers,Understands radio protocols and emergency reporting basics,Communicates effectively during routine and emergency situations,Applies incident communication protocols; understands ICS structure,Manages communications for field operations and incidents,Expert in emergency communications and incident management,Designs communication systems and manages complex incident reporting,Shapes emergency communication practices,Provides strategic communication and incident management leadership,"Dispatch operations, incident reporting systems, emergency communications *","Emergency response communications, incident management *","Emergency notification systems, incident tracking *","Communication system design, incident management support *","Campus emergency communications, research safety systems"
4.5.1,4,Field Operations Skills,4.5,EQUIPMENT OPERATION,Hand tool proficiency,Using non-powered tools effectively and safely for field work.,"Select and use appropriate hand tools for vegetation management, trail work, and restoration",Maintain tools in safe working condition through sharpening and repair,Transport and store tools safely,Understands basic hand tools and their uses,Uses common hand tools safely and effectively,Understands tool selection and maintenance principles,Uses diverse tools efficiently and maintains them properly,"Expert in tool selection, use, and program management",Manages tool programs and teaches advanced techniques,Shapes tool practices in field operations,Provides leadership on equipment and technique,"Trail tools, fire tools, restoration implements *","Landscaping tools, forestry implements *","Volunteer tool programs, preserve maintenance tools *",Specialized assessment and sampling tools *,"Research tools, teaching tool collections"
4.5.2,4,Field Operations Skills,4.5,EQUIPMENT OPERATION,Power equipment operation,"Safely operating motorized equipment including chainsaws, brush cutters, and pumps.","Operate chainsaws safely for tree falling, bucking, and limbing","Use string trimmers, brush cutters, and mowers for vegetation management",Maintain and troubleshoot small engines,Completes required power equipment training and safety certification,Operates basic power equipment under supervision,Holds advanced power equipment certifications,Operates power equipment independently for complex tasks,Expert in power equipment operation and maintenance,Manages equipment programs and specializes in complex operations,Shapes power equipment practices,Provides strategic equipment program leadership,"Chainsaw programs, equipment maintenance shops *","Commercial vegetation management, equipment operations *","Preserve maintenance equipment, volunteer equipment programs *",Equipment services for projects *,"Research equipment, campus grounds equipment"
